@relation candor

@attribute Equipment_Cost__c numeric
@attribute Term__c numeric
@attribute Payment_Freq__c {Monthly,Quarterly}
@attribute Grade__c {KO,C,F,E,G,A,D,B,N/A}
@attribute ROI1__c numeric

@data
950,12,Monthly,D,19.9
909,12,Monthly,KO,17.12
8634,48,Monthly,G,14.48
1214.32,60,Monthly,D,23.11
870,36,Monthly,D,18.58
1821,60,Quarterly,A,15.11
2494.3,24,Monthly,KO,27.24
3952.29,60,Quarterly,E,13.84
1969.25,60,Monthly,F,25.05
2483.96,24,Monthly,KO,20.16
876,36,Monthly,D,18.79
2500,24,Quarterly,KO,21.87
2200,24,Monthly,E,13.5
1250,60,Monthly,G,24.65
1033.42,60,Monthly,D,26.35
2100,60,Quarterly,D,19.56
2166.68,60,Monthly,A,19.76
6357.82,60,Quarterly,KO,14.26
2980.23,60,Monthly,G,19.5
5000,60,Monthly,F,23.3
5130,60,Monthly,E,12.21
1100,60,Quarterly,D,27.27
7393.51,60,Quarterly,C,15.72
2031.07,60,Monthly,D,18.26
3125,60,Monthly,E,17.63
1096.68,36,Monthly,E,19.95
1039.5,60,Quarterly,F,17.65
20000,60,Monthly,G,11.93
6484.18,60,Quarterly,G,26.82
1020.52,60,Monthly,G,57.01
1220,24,Monthly,KO,26.97
1559.7,60,Monthly,C,17.53
6795.87,60,Quarterly,G,20.4
5442,24,Monthly,D,12.1
1745,24,Monthly,E,13.03
2500,24,Monthly,KO,20.33
1700,60,Quarterly,KO,18.76
2827.83,60,Quarterly,C,11.77
2400,48,Monthly,F,28.62
3825,60,Monthly,C,20.69
1970.33,60,Quarterly,D,20.28
6900,36,Quarterly,D,15.79
1045.28,60,Quarterly,C,28.13
9500,60,Monthly,C,13.19
2385.13,60,Monthly,D,24.89
18490,72,Monthly,E,39.05
4290.35,60,Quarterly,A,10.48
3535,48,Monthly,C,16.05
4145.73,60,Quarterly,C,19.16
9000,48,Monthly,C,16.3
875,12,Monthly,KO,8.79
10341.5,36,Monthly,D,9.44
13850,72,Quarterly,D,15.11
10000,36,Monthly,F,20.52
1700,60,Monthly,D,18.04
4000,48,Monthly,E,29.58
3000,36,Monthly,B,15.35
1105.15,24,Quarterly,D,23.99
2895.78,24,Monthly,G,29.27
2611.43,60,Quarterly,A,19.91
11494.5,48,Monthly,KO,16.74
12400,60,Quarterly,C,14.97
1050,24,Monthly,G,27.2
2225.51,48,Monthly,D,20.06
5000,24,Quarterly,G,19.49
535,60,Quarterly,D,18.37
2000,60,Quarterly,KO,18.09
1050.69,60,Monthly,F,30.43
4300,36,Monthly,G,26.5
100000,60,Monthly,D,22.3
2500,36,Monthly,C,16.61
1931.71,24,Monthly,KO,27.06
2100,60,Quarterly,D,21.28
2496.1,24,Quarterly,G,17.55
2070,24,Monthly,KO,11.14
2500,60,Monthly,E,21.84
2183.55,60,Monthly,D,18.65
4108.26,60,Quarterly,A,9.56
844.78,24,Quarterly,KO,28.4
6163.67,60,Monthly,C,12.1
2633,36,Monthly,D,19.78
7039,36,Quarterly,A,14.95
1250,36,Monthly,D,26.82
785,12,Monthly,KO,31.59
2500,48,Quarterly,B,13.49
7500,36,Quarterly,D,14.24
10000,36,Quarterly,C,15.94
6500,36,Quarterly,E,18.36
4500,36,Monthly,D,16.82
2404.84,36,Quarterly,G,19.42
15000,60,Quarterly,C,11.48
11200,36,Quarterly,C,16.87
4000,24,Monthly,E,17.25
9900,60,Quarterly,F,17.15
787.8,24,Monthly,KO,25.68
5920.1,60,Monthly,E,24.15
550,60,Quarterly,E,29.39
10250,60,Monthly,C,14.74
600,12,Monthly,E,16.59
1477.83,60,Quarterly,C,23.23
9450,60,Monthly,E,17.51
3600,60,Monthly,C,18.63
8200,60,Quarterly,C,12.21
2112.2,36,Monthly,C,35.87
3775,12,Monthly,D,13.56
3425,24,Monthly,G,18.04
10500,60,Monthly,G,15.54
5270.68,60,Quarterly,G,15.79
1581.5,24,Monthly,KO,19.7
